,parameter,error,model,model1,model2
0,"{'model1_params': {'changepoint_prior_scale': 3.749880860497581, 'changepoint_range': 0.6813596389475317, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 15, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.21768393497659777}, 'model2_params': {'alpha': 1.776471347709817}}",294.1667041230378,Hybrid,Prophet,Linear
1,"{'model1_params': {'changepoint_prior_scale': 0.03347034895187707, 'changepoint_range': 0.5862205100696128, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 13, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.018999343517960905}, 'model2_params': {'boosting': 'gbdt', 'colsample_bynode': 0.6871008394099422, 'colsample_bytree': 0.6673624546929418, 'learning_rate': 0.9479735919966705, 'max_depth': 4, 'min_child_weight': 9.0, 'min_gain_to_split': 5.663616816779601, 'num_leaves': 70, 'reg_alpha': 49.0, 'reg_lambda': 0.18607894708823125, 'subsample': 0.527705336915131}}",443.4433664307728,Hybrid,Prophet,LGB
2,"{'model1_params': {'changepoint_prior_scale': 0.07088156129606085, 'changepoint_range': 0.7217722181086439, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 13, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 2.5211555620339885}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.7485113185137251, 'colsample_bytree': 0.7132137578416893, 'learning_rate': 0.15410336940897976, 'max_depth': 6, 'min_child_weight': 5.0, 'min_gain_to_split': 1.2418675367702239, 'num_leaves': 120, 'reg_alpha': 93.0, 'reg_lambda': 0.4316981669262027, 'subsample': 0.5117835951161812}}",468.66616913651364,Hybrid,Prophet,LGB
3,"{'model1_params': {'changepoint_prior_scale': 0.02989576020912108, 'changepoint_range': 0.8087761248884979, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 39, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.20084153507668553}, 'model2_params': {'boosting': 'gbdt', 'colsample_bynode': 0.7951177413115194, 'colsample_bytree': 0.6342070022917667, 'learning_rate': 0.4377692396998283, 'max_depth': 6, 'min_child_weight': 3.0, 'min_gain_to_split': 0.06029787809098593, 'num_leaves': 40, 'reg_alpha': 32.0, 'reg_lambda': 0.333691122374141, 'subsample': 0.5997263549021099}}",381.3295785256697,Hybrid,Prophet,LGB
4,"{'model1_params': {'changepoint_prior_scale': 0.21477251453540805, 'changepoint_range': 0.6129889111455791, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 16, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.28934803671779735}, 'model2_params': {'alpha': 0.5142865100472401}}",358.14298030832515,Hybrid,Prophet,Linear
5,"{'model1_params': {'changepoint_prior_scale': 0.8082066716206788, 'changepoint_range': 0.5850143391827758, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 19, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.20501729718545494}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.7416131253043927, 'colsample_bytree': 0.8480349312141107, 'learning_rate': 0.03811803432499525, 'max_depth': 4, 'min_child_weight': 8.0, 'min_gain_to_split': 6.592256771111577, 'num_leaves': 210, 'reg_alpha': 36.0, 'reg_lambda': 0.44371745796229994, 'subsample': 0.6755196952158935}}",303.23056900801856,Hybrid,Prophet,LGB
6,"{'model1_params': {'changepoint_prior_scale': 2.376313688616678, 'changepoint_range': 0.6457824186257988, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 31, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 1.645281744942036}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.8430865985368793, 'colsample_bytree': 0.7221124379676717, 'learning_rate': 0.1121336578281316, 'max_depth': 4, 'min_child_weight': 7.0, 'min_gain_to_split': 6.728753886240297, 'num_leaves': 230, 'reg_alpha': 68.0, 'reg_lambda': 0.5363220815871667, 'subsample': 0.7449115647056102}}",305.7576792945227,Hybrid,Prophet,LGB
7,"{'model1_params': {'changepoint_prior_scale': 0.24164337494910776, 'changepoint_range': 0.7283890960017652, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 30, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.10859271886376651}, 'model2_params': {'alpha': 0.03377414150227524}}",765.6237180222488,Hybrid,Prophet,Linear
8,"{'model1_params': {'changepoint_prior_scale': 3.344497754568164, 'changepoint_range': 0.7006174321555204, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 32, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 1.1818350994301}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.6714881485301127, 'colsample_bytree': 0.6814243580202157, 'learning_rate': 0.028392859791024117, 'max_depth': 2, 'min_child_weight': 6.0, 'min_gain_to_split': 5.589533447734212, 'num_leaves': 250, 'reg_alpha': 46.0, 'reg_lambda': 0.5122548747444435, 'subsample': 0.8347031421886069}}",313.4751494464815,Hybrid,Prophet,LGB
9,"{'model1_params': {'changepoint_prior_scale': 1.4604696201870029, 'changepoint_range': 0.7641779717484812, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 13, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.09932584697547585}, 'model2_params': {'alpha': 1.881123309870174}}",294.2870233787941,Hybrid,Prophet,Linear
10,"{'model1_params': {'changepoint_prior_scale': 3.061215070238239, 'changepoint_range': 0.6584780145806842, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 26, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.26772144899224165}, 'model2_params': {'alpha': 4.312436907259737}}",312.03529839429507,Hybrid,Prophet,Linear
11,"{'model1_params': {'changepoint_prior_scale': 1.4698454963280534, 'changepoint_range': 0.6407060079610956, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 23, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5537100527939587}, 'model2_params': {'alpha': 0.08030019138043878}}",621.0787713723506,Hybrid,Prophet,Linear
12,"{'model1_params': {'changepoint_prior_scale': 1.5512869329475802, 'changepoint_range': 0.6900400646556539, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 11, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.8380534233225194}, 'model2_params': {'boosting': 'gbdt', 'colsample_bynode': 0.6347567876663314, 'colsample_bytree': 0.6784482338022664, 'learning_rate': 0.12586318621053066, 'max_depth': 5, 'min_child_weight': 6.0, 'min_gain_to_split': 9.114026681741793, 'num_leaves': 160, 'reg_alpha': 65.0, 'reg_lambda': 0.17781721853732613, 'subsample': 0.5598396516090631}}",333.9173750492468,Hybrid,Prophet,LGB
13,"{'model1_params': {'changepoint_prior_scale': 3.442689800751002, 'changepoint_range': 0.7654473137942247, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 7, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.09832990080194845}, 'model2_params': {'alpha': 1.9790012590519914}}",289.8387702336082,Hybrid,Prophet,Linear
14,"{'model1_params': {'changepoint_prior_scale': 1.9092542788370537, 'changepoint_range': 0.7653742419779789, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 28, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5932284257654077}, 'model2_params': {'alpha': 6.030776275094828}}",306.715533385577,Hybrid,Prophet,Linear
15,"{'model1_params': {'changepoint_prior_scale': 1.4514721603590692, 'changepoint_range': 0.8432569462558922, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 19, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.16519675632994932}, 'model2_params': {'alpha': 0.5520703242175664}}",281.2989169842469,Hybrid,Prophet,Linear
16,"{'model1_params': {'changepoint_prior_scale': 0.961540639125533, 'changepoint_range': 0.6104420665873842, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 38, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 2.6460086184617064}, 'model2_params': {'boosting': 'dart', 'colsample_bynode': 0.7227412265237554, 'colsample_bytree': 0.6464753453187363, 'learning_rate': 0.05048150355007111, 'max_depth': 3, 'min_child_weight': 9.0, 'min_gain_to_split': 7.118322375700524, 'num_leaves': 300, 'reg_alpha': 96.0, 'reg_lambda': 0.7085175802539685, 'subsample': 0.7242150160961349}}",309.9703549274657,Hybrid,Prophet,LGB
17,"{'model1_params': {'changepoint_prior_scale': 0.6744800816886425, 'changepoint_range': 0.8243859665476789, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 27, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2945620901355563}, 'model2_params': {'alpha': 1.7080948506648617}}",291.9714489878649,Hybrid,Prophet,Linear
18,"{'model1_params': {'changepoint_prior_scale': 3.9364561363025143, 'changepoint_range': 0.7681983163615141, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 18, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4226517476348302}, 'model2_params': {'alpha': 2.3427749826661417}}",294.61839599781166,Hybrid,Prophet,Linear
19,"{'model1_params': {'changepoint_prior_scale': 0.5494399070687056, 'changepoint_range': 0.8339857537552022, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 12, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.12408158023337722}, 'model2_params': {'alpha': 1.8895920721336914}}",292.32376933227374,Hybrid,Prophet,Linear
20,"{'model1_params': {'changepoint_prior_scale': 2.857042721977561, 'changepoint_range': 0.785300967304442, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 10, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.06931152742114877}, 'model2_params': {'alpha': 0.32419384092310516}}",334.13314598474386,Hybrid,Prophet,Linear
21,"{'model1_params': {'changepoint_prior_scale': 0.48110214287155373, 'changepoint_range': 0.8093855343323657, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 13, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.0776030381723147}, 'model2_params': {'alpha': 0.28507555650690336}}",335.77964676770654,Hybrid,Prophet,Linear
22,"{'model1_params': {'changepoint_prior_scale': 0.2720109883707461, 'changepoint_range': 0.7995310755233215, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 25, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.19763557768108028}, 'model2_params': {'alpha': 0.5361511573077586}}",282.67528353583066,Hybrid,Prophet,Linear
23,"{'model1_params': {'changepoint_prior_scale': 0.21036609689466831, 'changepoint_range': 0.8347946315207332, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 19, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.4108310622774435}, 'model2_params': {'alpha': 3.199897417349583}}",295.51649374716203,Hybrid,Prophet,Linear
24,"{'model1_params': {'changepoint_prior_scale': 1.9281928662956398, 'changepoint_range': 0.8955172181461578, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 14, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.30631659763176566}, 'model2_params': {'alpha': 1.808182731147898}}",293.9833385034929,Hybrid,Prophet,Linear
25,"{'model1_params': {'changepoint_prior_scale': 2.4098591947297106, 'changepoint_range': 0.74858272140457, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.08731230069372146}, 'model2_params': {'alpha': 0.9109992627205366}}",295.590053576657,Hybrid,Prophet,Linear
26,"{'model1_params': {'changepoint_prior_scale': 1.6989396622182817, 'changepoint_range': 0.8225370424965415, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 20, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.15460680924715256}, 'model2_params': {'alpha': 0.27044915682395954}}",281.57689434500224,Hybrid,Prophet,Linear
27,"{'model1_params': {'changepoint_prior_scale': 0.7812197163559345, 'changepoint_range': 0.8515612444235968, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 23, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3195773330627431}, 'model2_params': {'alpha': 0.20689603782592106}}",284.22523752710913,Hybrid,Prophet,Linear
28,"{'model1_params': {'changepoint_prior_scale': 2.8327373009582475, 'changepoint_range': 0.8928999652422674, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 18, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.16641333355093227}, 'model2_params': {'alpha': 2.0274328052934085}}",295.6482571612939,Hybrid,Prophet,Linear
29,"{'model1_params': {'changepoint_prior_scale': 0.9712354823314888, 'changepoint_range': 0.8137109933106562, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 22, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.12216727285582454}, 'model2_params': {'alpha': 0.23171537929030003}}",283.1339677151352,Hybrid,Prophet,Linear
30,"{'model1_params': {'changepoint_prior_scale': 0.22880654862518074, 'changepoint_range': 0.7748359898298147, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2180016092286632}, 'model2_params': {'alpha': 2.0234720637529753}}",291.9779304171392,Hybrid,Prophet,Linear
31,"{'model1_params': {'changepoint_prior_scale': 1.8986572027471726, 'changepoint_range': 0.8065707865796005, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 21, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.13114113028406288}, 'model2_params': {'alpha': 0.43544856250313385}}",414.49997176933124,Hybrid,Prophet,Linear
32,"{'model1_params': {'changepoint_prior_scale': 2.025428680775234, 'changepoint_range': 0.8322505242589409, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 21, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.07299324338238103}, 'model2_params': {'alpha': 0.17484828836609015}}",285.37564587104566,Hybrid,Prophet,Linear
33,"{'model1_params': {'changepoint_prior_scale': 0.6772303453371544, 'changepoint_range': 0.8046143101830076, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.24153860782810138}, 'model2_params': {'alpha': 0.44400371799749366}}",436.77952878861925,Hybrid,Prophet,Linear
34,"{'model1_params': {'changepoint_prior_scale': 1.2989959868636565, 'changepoint_range': 0.8353960370613115, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 22, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.10730473984072153}, 'model2_params': {'alpha': 0.07057399412936922}}",287.02361250997575,Hybrid,Prophet,Linear
35,"{'model1_params': {'changepoint_prior_scale': 2.4200324653652805, 'changepoint_range': 0.8498267553567846, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 24, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.09347284724997348}, 'model2_params': {'alpha': 0.28035410408812333}}",285.4791142584088,Hybrid,Prophet,Linear
